PWY-6684	aromatic  glucosinolate activation
PWY-7543	5-N-acetylardeemin biosynthesis
PWY-5958	acridone alkaloid biosynthesis
PWY-7555	alpha-cyclopiazonate biosynthesis
PWY-7558	alpha-cyclopiazonate detoxification
PWY-5666	alpha-solanine/alpha-chaconine biosynthesis
PWY-7826	Amaryllidacea alkaloids biosynthesis
PWY-7549	asperlicin E biosynthesis
PWY-5710	capsaicin biosynthesis
PWY-6027	capsiconiate biosynthesis
PWY-7612	chaetoglobosin A biosynthesis
PWY-8100	crotonosine biosynthesis
PWY-7135	emetine biosynthesis
PWY-5883	ephedrine biosynthesis
PWY-7542	fumiquinazoline D biosynthesis
PWY-7526	fumitremorgin A biosynthesis
PWY-7525	fumitremorgin C biosynthesis
PWY-5748	gamma-coniciene and coniine biosynthesis
PWY-3181	L-tryptophan degradation VI (via tryptamine)
PWY-7265	lampranthin biosynthesis
PWY-7607	meleagrin biosynthesis
PWY-5315	N-methyl-Delta1-pyrrolinium cation biosynthesis
PWY-7608	neoxaline biosynthesis
PWY-7138	noscapine biosynthesis
PWY-7604	notoamide C and D biosynthesis
PWY-7600	peramine biosynthesis
PWY-6923	ricinine degradation
PWY-7605	roquefortine C biosynthesis
PWY-7603	stephacidin A biosynthesis
PWY-6503	superpathway of ergotamine biosynthesis
PWY-7609	superpathway of roquefortine, meleagrin and neoxaline biosynthesis
PWY-7660	tryptoquialanine biosynthesis
PWY-7704	viridicatin biosynthesis
PWY-8071	N-3-oxalyl-L-2,3-diaminopropanoate biosynthesis
PWY-7095	3,4-dihydroxymandelonitrile beta-D-glucose biosynthesis
PWY-861	dhurrin biosynthesis
PWY-8081	leucine-derived hydroxynitrile glucoside biosynthesis
PWY-3022	linamarin biosynthesis
PWY-5990	lotaustralin biosynthesis
PWY-7824	prunasin and amygdalin biosynthesis
PWY-7088	taxiphyllin biosynthesis
PWY-1187	glucosinolate biosynthesis from homomethionine
PWY-2821	glucosinolate biosynthesis from phenylalanine
PWY-601	glucosinolate biosynthesis from tryptophan
PWY-7901	glucosinolate biosynthesis from tyrosine
PWY-5388	N-glucosylnicotinate metabolism
PWY-4961	beta-pyrazole-1-ylalanine biosynthesis
PWY-5	canavanine biosynthesis
PWY-4985	mimosine biosynthesis
PWY-5021	willardiine and isowillardiine biosynthesis
PWY-8052	2-arachidonoylglycerol biosynthesis
PWY-8024	4-hydroxyindole-3-carbonyl nitrile biosynthesis
PWY-6448	hordatine biosynthesis
PWY-5473	hydroxycinnamic acid serotonin amides biosynthesis
PWY-5474	hydroxycinnamic acid tyramine amides biosynthesis
PWY-8055	palmitoyl ethanolamide biosynthesis
PWY-6442	spermidine hydroxycinnamic acid conjugates biosynthesis
PWY-7460	2-O-acetyl-3-O-trans-coutarate biosynthesis
PWY-6039	chlorogenic acid biosynthesis I
PWY-6040	chlorogenic acid biosynthesis II
PWY-5968	cinnamate esters biosynthesis
PWY-5859	eugenol and isoeugenol biosynthesis
PWY-5168	ferulate and sinapate biosynthesis
PWY-2181	free phenylpropanoid acid biosynthesis
PWY-7461	hydroxycinnamate sugar acid ester biosynthesis
PWY-3301	sinapate ester biosynthesis
PWY-5071	superpathway of rosmarinic acid biosynthesis
PWY-5867	t-anethole biosynthesis
PWY-4201	volatile cinnamoic ester biosynthesis
PWY-7304	3-amino-4,7-dihydroxy-coumarin biosynthesis
PWY-4922	6-methoxymellein biosynthesis
PWY-5176	coumarin biosynthesis (via 2-coumarate)
PWY-5319	coumarin metabolism (to melilotic acid)
PWY-7398	coumarins biosynthesis (engineered)
PWY-7055	daphnetin modification
PWY-5349	esculetin biosynthesis
PWY-7058	esculetin modification
PWY-5365	linear furanocoumarin biosynthesis
PWY-6792	scopoletin biosynthesis
PWY-7186	superpathway of scopolin and esculin biosynthesis
PWY-6982	umbelliferone biosynthesis
PWY-7449	acylated cyanidin galactoside biosynthesis
PWY-7261	anthocyanidin 3-malylglucoside biosynthesis (acyl-glucose dependent)
PWY-7679	anthocyanidin acylglucoside and acylsambubioside biosynthesis
PWY-7450	anthocyanidin modification (Arabidopsis)
PWY-7678	anthocyanidin sambubioside biosynthesis
PWY-5286	anthocyanidin sophoroside metabolism
PWY-5125	anthocyanin biosynthesis
PWY-5153	anthocyanin biosynthesis (delphinidin 3-O-glucoside)
PWY-7267	anthocyanin biosynthesis (pelargonidin 3-O-glucoside)
PWY-7253	apigeninidin 5-O-glucoside biosynthesis
PWY-7464	cyanidin 3,7-diglucoside polyacylation biosynthesis
PWY-7256	cyanidin diglucoside biosynthesis (acyl-glucose dependent)
PWY-7452	cyanidin dimalonylglucoside biosynthesis
PWY-7260	delphinidin diglucoside biosynthesis (acyl-glucose dependent)
PWY-5307	gentiodelphin biosynthesis
PWY-7252	luteolinidin 5-O-glucoside biosynthesis
PWY-5139	pelargonidin conjugates biosynthesis
PWY-7259	pelargonidin diglucoside biosynthesis (acyl-glucose dependent)
PWY-5160	rose anthocyanin biosynthesis I (via cyanidin 5-O-beta-D-glucoside)
PWY-7262	rose anthocyanin biosynthesis II (via cyanidin 3-O-beta-D-glucoside)
PWY-5268	salvianin biosynthesis
PWY-5284	shisonin biosynthesis
PWY-5313	superpathway of anthocyanin biosynthesis (from cyanidin and cyanidin 3-O-glucoside)
PWY-5310	superpathway of anthocyanin biosynthesis (from delphinidin 3-O-glucoside)
PWY-5312	superpathway of anthocyanin biosynthesis (from pelargonidin 3-O-glucoside)
PWY-7280	ternatin C3 biosynthesis
PWY-5295	ternatin C5 biosynthesis
PWY-7458	violdelphin biosynthesis
PWY-1901	aurone biosynthesis
PWY-6401	hispidol and hispidol 4'-O-beta-D-glucoside biosynthesis
PWY-5161	6'-deoxychalcone metabolism
PWY-5339	chalcone 2'-O-glucoside biosynthesis
PWY-5105	hesperitin glycoside biosynthesis
PWY-6602	naringenin C-glucosylation
PWY-5094	naringenin glycoside biosynthesis
PWY-5118	ponciretin biosynthesis
PWY-5116	sakuranetin biosynthesis
PWY-5119	acacetin biosynthesis
PWY-6010	apigenin glycosides biosynthesis
PWY-7212	baicalein metabolism
PWY-7188	eriodictyol C-glucosylation
PWY-6024	isovitexin glycosides biosynthesis
PWY-5060	luteolin biosynthesis
PWY-6239	luteolin glycosides biosynthesis
PWY-7444	luteolin triglucuronide biosynthesis
PWY-5793	maysin biosynthesis
PWY-7298	nevadensin biosynthesis
PWY-7189	pinocembrin C-glucosylation
PWY-7161	polymethylated quercetin biosynthesis
PWY-7325	salvigenin biosynthesis
PWY-6015	vitexin and derivatives biosynthesis
PWY-7213	wogonin metabolism
PWY-6035	2,3-cis-flavanols biosynthesis
PWY-5363	chrysin biosynthesis
PWY-7157	eupatolitin 3-O-glucoside biosynthesis
PWY-7168	flavonol acylglucoside biosynthesis I - kaempferol derivatives
PWY-7171	flavonol acylglucoside biosynthesis II - isorhamnetin derivatives
PWY-7172	flavonol acylglucoside biosynthesis III - quercetin derivatives
PWY-3101	flavonol biosynthesis
PWY-7448	galloylated catechin biosynthesis
PWY-7495	gossypetin metabolism
PWY-7166	kaempferide triglycoside biosynthesis
PWY-7191	kaempferol diglycoside biosynthesis (pollen-specific)
PWY-7143	kaempferol gentiobioside biosynthesis
PWY-5320	kaempferol glycoside biosynthesis (Arabidopsis)
PWY-5348	kaempferol triglucoside biosynthesis
PWY-6064	methylquercetin biosynthesis
PWY-7140	myricetin gentiobioside biosynthesis
PWY-5059	pinobanksin biosynthesis
PWY-7163	polymethylated kaempferol biosynthesis
PWY-7160	polymethylated myricetin biosynthesis (tomato)
PWY-7150	polymethylated quercetin glucoside biosynthesis I - quercetin series (Chrysosplenium)
PWY-7151	polymethylated quercetin glucoside biosynthesis II - quercetagetin series (Chrysosplenium)
PWY-7192	quercetin diglycoside biosynthesis (pollen-specific)
PWY-7137	quercetin gentiotetraside biosynthesis
PWY-7129	quercetin glucoside biosynthesis (Allium)
PWY-5321	quercetin glycoside biosynthesis (Arabidopsis)
PWY-6199	quercetin sulfate biosynthesis
PWY-7173	quercetin triglucoside biosynthesis
PWY-5390	rutin biosynthesis
PWY-7149	superpathway of polymethylated quercetin/quercetagetin glucoside biosynthesis (Chrysosplenium)
PWY-5391	syringetin biosynthesis
PWY-6631	tricetin methylation
PWY-7995	tricin biosynthesis
PWY-6427	rot-2'-enonate biosynthesis
PWY-5775	rotenoid biosynthesis I
PWY-6425	rotenoid biosynthesis II
PWY-2467	(+)-pisatin biosynthesis
PWY-2761	(-)-glycinol biosynthesis
PWY-2464	(-)-maackiain biosynthesis
PWY-2463	(-)-medicarpin biosynthesis
PWY-5061	6,7,4'-trihydroxyisoflavone biosynthesis
PWY-7633	calycosin 7-O-glucoside biosynthesis
PWY-6332	coumestrol biosynthesis
PWY-5821	dalcochinin biosynthesis
PWY-5825	dalpatein and dalnigrein biosynthesis
PWY-2321	formononetin biosynthesis
PWY-7145	genistin gentiobioside biosynthesis
PWY-2762	glyceollin biosynthesis
PWY-2002	isoflavonoid biosynthesis I
PWY-2083	isoflavonoid biosynthesis II
PWY-4681	kievitone biosynthesis
PWY-3042	phaseollin biosynthesis
PWY-3097	superpathway of isoflavonoids (via naringenin)
PWY-2055	superpathway of pterocarpan biosynthesis (via daidzein)
PWY-2229	superpathway of pterocarpan biosynthesis (via formononetin)
PWY-5729	vestitol and sativan biosynthesis
PWY-4502	wighteone and luteone biosynthesis
PWY-5152	leucodelphinidin biosynthesis
PWY-6914	sophoraflavanone G biosynthesis
PWY-5135	xanthohumol biosynthesis
PWY-641	proanthocyanidins biosynthesis from flavanols
PWY-6029	2,3-trans-flavanols biosynthesis
PWY-6232	chrysoeriol biosynthesis
PWY-6325	echinatin biosynthesis
PWY-6787	flavonoid biosynthesis (in equisetum)
PWY-7897	flavonoid di-C-glucosylation
PWY-7397	naringenin biosynthesis (engineered)
PWY-6515	phloridzin biosynthesis
PWY-5476	cornusiin E biosynthesis
PWY-5477	gallotannin biosynthesis
PWY-5475	pentagalloylglucose biosynthesis
PWY-5478	superpathway of hydrolyzable tannin biosynthesis
PWY-7748	yatein biosynthesis I
PWY-7629	yatein biosynthesis II
PWY-7487	(+)-secoisolariciresinol diglucoside biosynthesis
PWY-7749	(-)-4'-demethyl-epipodophyllotoxin biosynthesis
PWY-5479	6-methoxypodophyllotoxin biosynthesis
PWY-7631	arctigenin and isoarctigenin biosynthesis
PWY-6820	diphyllin biosynthesis
PWY-7630	hinokinin biosynthesis
PWY-6824	justicidin B biosynthesis
PWY-5466	matairesinol biosynthesis
PWY-7491	podophyllotoxin glucosides metabolism
PWY-5469	sesamin biosynthesis
PWY-7139	sesaminol glucoside biosynthesis
PWY-116	coniferin metabolism
PWY-6302	dihydroconiferyl alcohol biosynthesis
PWY-83	monolignol glucosides biosynthesis
PWY-7632	hinokiresinol biosynthesis
PWY-5802	alizarin biosynthesis
PWY-7080	asterrate biosynthesis
PWY-7518	atromentin biosynthesis
PWY-5371	chrysophanol biosynthesis
PWY-7079	geodin biosynthesis
PWY-5780	hypericin biosynthesis
PWY-5795	juglone biosynthesis
PWY-5801	lawsone biosynthesis
PWY-5701	shikonin biosynthesis
PWY-5987	sorgoleone biosynthesis
PWY-5048	rosmarinic acid biosynthesis I
PWY-5049	rosmarinic acid biosynthesis II
PWY-5045	pinosylvin metabolism
PWY-6665	pterostilbene biosynthesis
PWY-84	resveratrol biosynthesis
PWY-5665	vanillin biosynthesis I
PWY-6835	6-gingerol biosynthesis
PWY-7682	arabidopyrone biosynthesis
PWY-7468	benzoyl-beta-D-glucopyranose biosynthesis
PWY-6673	caffeoylglucarate biosynthesis
PWY-7643	coniferyl alcohol 9-methyl ester biosynthesis
PWY-4421	curcumin glucoside biosynthesis
PWY-5882	epoxypseudoisoeugenol-2-methylbutanoate biosynthesis
PWY-8103	kavain biosynthesis
PWY-7498	phenylpropanoids methylation (ice plant)
PWY-8094	superpathway of kavalactone biosynthesis
PWY-6801	volatile esters biosynthesis (during fruit ripening)
PWY-8104	yangonin biosynthesis
PWY-2921	capsidiol biosynthesis
PWY-2981	diterpene phytoalexins precursors biosynthesis
PWY-6887	kauralexin biosynthesis
PWY-7477	momilactone A biosynthesis
PWY-7489	oryzalexin A, B, and C biosynthesis
PWY-7478	oryzalexin D and E biosynthesis
PWY-7481	oryzalide A biosynthesis
PWY-7484	phytocassanes biosynthesis, shared reactions
PWY-2961	sesquiterpenoid phytoalexins biosynthesis
PWY-6888	zealexin biosynthesis
PWY-6418	4-hydroxycoumarin and dicoumarol biosynthesis
PWY-7739	aucuparin biosynthesis
PWY-7689	8-O-methylfusarubin biosynthesis
PWY-4801	aloesone biosynthesis I
PWY-6310	aloesone biosynthesis II
PWY-6316	aromatic polyketides biosynthesis
PWY-7565	aspyridone A biosynthesis
PWY-7695	aurofusarin biosynthesis
PWY-6312	barbaloin biosynthesis
PWY-7563	bassianin and desmethylbassianin biosynthesis
PWY-7692	bikaverin biosynthesis
PWY-7696	citreoisocoumarin and bikisocoumarin biosynthesis
PWY-7880	coelimycin P1 biosynthesis
PWY-8117	colibactin biosynthesis
PWY-6432	curcuminoid biosynthesis
PWY-7513	flaviolin dimer and mompain biosynthesis
PWY-7672	fusaric acid biosynthesis
PWY-7673	fusarin C biosynthesis
PWY-8116	ochratoxin A biosynthesis
PWY-8049	pederin biosynthesis
PWY-12	pentaketide chromone biosynthesis
PWY-6438	phenylphenalenone biosynthesis
PWY-6314	plumbagin biosynthesis
PWY-5393	raspberry ketone biosynthesis
PWY-8037	saliniketal A biosynthesis
PWY-6627	salinosporamide A biosynthesis
PWY-7561	tenellin biosynthesis
PWY-5912	2'-deoxymugineic acid phytosiderophore biosynthesis
PWY-6574	achromobactin biosynthesis
PWY-7984	acinetobactin biosynthesis
PWY-7989	acinetoferrin biosynthesis
PWY-6379	alcaligin biosynthesis
PWY-7986	anguibactin biosynthesis
PWY-5903	bacillibactin biosynthesis
PWY-7988	baumannoferrin biosynthesis
PWY-6381	bisucaberin biosynthesis
PWY-6376	desferrioxamine B biosynthesis
PWY-6375	desferrioxamine E biosynthesis
PWY-7571	ferrichrome A biosynthesis
PWY-7577	ferrichrome biosynthesis
PWY-5925	hydroxylated mugineic acid phytosiderophore biosynthesis
PWY-6289	petrobactin biosynthesis
PWY-7983	pseudomonine biosynthesis
PWY-6378	putrebactin biosynthesis
PWY-6408	pyochelin biosynthesis
PWY-6409	pyoverdine I biosynthesis
PWY-761	rhizobactin 1021 biosynthesis
PWY-8023	salmochelin biosynthesis
PWY-7990	staphyloferrin A biosynthesis
PWY-8008	staphyloferrin B biosynthesis
PWY-7987	vanchrobactin biosynthesis
PWY-6374	vibriobactin biosynthesis
PWY-6407	yersiniabactin biosynthesis
PWY-5978	kanosamine biosynthesis I
PWY-6361	1D-myo-inositol hexakisphosphate biosynthesis I (from Ins(1,4,5)P3)
PWY-6362	1D-myo-inositol hexakisphosphate biosynthesis II (mammalian)
PWY-4661	1D-myo-inositol hexakisphosphate biosynthesis III (Spirodela polyrrhiza)
PWY-6372	1D-myo-inositol hexakisphosphate biosynthesis IV (Dictyostelium)
PWY-6554	1D-myo-inositol hexakisphosphate biosynthesis V (from Ins(1,3,4)P3)
PWY-6555	superpathway of 1D-myo-inositol hexakisphosphate biosynthesis (plants)
PWY-6738	pinitol biosynthesis I
PWY-6739	pinitol biosynthesis II
PWY-6364	D-myo-inositol (1,3,4)-trisphosphate biosynthesis
PWY-6351	D-myo-inositol (1,4,5)-trisphosphate biosynthesis
PWY-6366	D-myo-inositol (1,4,5,6)-tetrakisphosphate biosynthesis
PWY-6365	D-myo-inositol (3,4,5,6)-tetrakisphosphate biosynthesis
PWY-5338	galactosylcyclitol biosynthesis
PWY-6369	inositol diphosphates biosynthesis
PWY-2301	myo-inositol biosynthesis
PWY-8078	quebrachitol biosynthesis
PWY-6358	superpathway of D-myo-inositol (1,4,5)-trisphosphate metabolism
PWY-5054	D-sorbitol biosynthesis I
PWY-5530	sorbitol biosynthesis II
PWY-3881	mannitol biosynthesis
PWY-5380	A series fagopyritols biosynthesis
PWY-5379	B series fagopyritols biosynthesis
PWY-5331	taurine biosynthesis I
PWY-7850	taurine biosynthesis II
PWY-6900	(Z)-butanethial-S-oxide biosynthesis
PWY-6539	(Z)-phenylmethanethial S-oxide biosynthesis
PWY-5389	3-methylthiopropanoate biosynthesis
PWY-5706	alliin metabolism
PWY-8045	cylindrospermopsin biosynthesis
PWY-5708	ethiin metabolism
PWY-8001	felinine and 3-methyl-3-sulfanylbutan-1-ol biosynthesis
PWY-7614	methiin metabolism
PWY-5707	propanethial S-oxide biosynthesis
PWY-6176	superpathway of Allium flavor precursors
PWY-6767	4,4'-diapolycopenedioate biosynthesis
PWY-5875	staphyloxanthin biosynthesis
PWY-5305	bixin biosynthesis
PWY-5397	crocetin biosynthesis
PWY-5398	crocetin esters biosynthesis
PWY-6681	neurosporaxanthin biosynthesis
PWY-7938	isorenieratene biosynthesis I (actinobacteria)
PWY-7941	isorenieratene biosynthesis II (Chlorobiaceae)
PWY-5942	trans-lycopene biosynthesis I
PWY-6475	trans-lycopene biosynthesis II (oxygenic phototrophs and green sulfur bacteria)
PWY-7637	2,2'-dihydroxyketocarotenoids biosynthesis
PWY-5946	alpha-carotene biosynthesis
PWY-5288	astaxanthin biosynthesis (bacteria, fungi, algae)
PWY-7636	astaxanthin biosynthesis (flowering plants)
PWY-7623	astaxanthin dirhamnoside biosynthesis
PWY-5943	beta-carotene biosynthesis
PWY-7393	beta-carotene biosynthesis (engineered)
PWY-5291	canthaxanthin biosynthesis
PWY-5174	capsanthin and capsorubin biosynthesis
PWY-7939	chlorobactene biosynthesis
PWY-7950	diadinoxanthin and fucoxanthin biosynthesis
PWY-7638	echinenone and zeaxanthin biosynthesis (Synechocystis)
PWY-7947	flexixanthin biosynthesis
PWY-5175	lactucaxanthin biosynthesis
PWY-7940	lauryl-hydroxychlorobactene glucoside biosynthesis
PWY-5947	lutein biosynthesis
PWY-6279	myxol-2' fucoside biosynthesis
PWY-6809	neoxanthin biosynthesis
PWY-6287	neurosporene biosynthesis
PWY-7175	nostoxanthin biosynthesis
PWY-7591	okenone biosynthesis
PWY-6286	spheroidene and spheroidenone biosynthesis
PWY-6581	spirilloxanthin and 2,2'-diketo-spirilloxanthin biosynthesis
PWY-6280	synechoxanthin biosynthesis
PWY-5944	zeaxanthin biosynthesis
PWY-6288	zeaxanthin-beta-D-diglucoside biosynthesis
PWY-7945	2,2'-bis-(4-hydroxy-3-methybut-2-enyl)-beta,beta-carotene monoglucoside biosynthesis
PWY-7944	bacterioruberin biosynthesis
PWY-7946	sarcinaxanthin diglucoside biosynthesis
PWY-5063	phytyl diphosphate biosynthesis
PWY-5411	abietic acid biosynthesis
PWY-5421	dehydroabietic acid biosynthesis
PWY-5422	isopimaric acid biosynthesis
PWY-5412	levopimaric acid biosynthesis
PWY-5413	neoabietic acid biosynthesis
PWY-5414	palustric acid biosynthesis
PWY-5416	superpathway of diterpene resin acids biosynthesis
PWY-7065	2alpha,7beta-dihydroxylation of taxusin
PWY-7517	brassicicene C biosynthesis
PWY-7680	carnosate bioynthesis
PWY-6304	casbene biosynthesis
PWY-7482	cyclooctatin biosynthesis
PWY-7994	dolabralexins biosynthesis
PWY-6659	fusicoccin A biosynthesis
PWY-6645	labdane-type diterpenes biosynthesis
PWY-7572	lolitrem B biosynthesis
PWY-7721	methyl phomopsenoate biosynthesis
PWY-5107	phytol salvage pathway
PWY-6691	plaunotol biosynthesis
PWY-7070	steviol biosynthesis
PWY-7071	steviol glucoside biosynthesis (rebaudioside A biosynthesis)
PWY-7392	taxadiene biosynthesis (engineered)
PWY-5660	taxol biosynthesis
PWY-7560	methylerythritol phosphate pathway II
PWY-922	mevalonate pathway I (eukaryotes and bacteria)
PWY-6174	mevalonate pathway II (haloarchaea)
PWY-7524	mevalonate pathway III (Thermoplasma)
PWY-8125	mevalonate pathway IV (archaea)
PWY-8084	daurichromenate biosynthesis
PWY-6270	isoprene biosynthesis I
PWY-7391	isoprene biosynthesis II (engineered)
PWY-6913	methylbutenol biosynthesis
PWY-7709	(3R)-linalool biosynthesis
PWY-7141	(3S)-linalool biosynthesis
PWY-6990	(+)-camphor biosynthesis
PWY-6991	(-)-camphor biosynthesis
PWY-5928	(4R)-carvone biosynthesis
PWY-7443	(4S)-carvone biosynthesis
PWY-6451	3-carene biosynthesis
PWY-5813	bornyl diphosphate biosynthesis
PWY-6437	fenchol biosynthesis I
PWY-6445	fenchol biosynthesis II
PWY-6449	fenchone biosynthesis
PWY-5829	geraniol and geranial biosynthesis
PWY-7697	geranyl beta-primeveroside biosynthesis
PWY-7182	linalool biosynthesis I
PWY-3061	menthol biosynthesis
PWY-3041	monoterpene biosynthesis
PWY-5423	oleoresin monoterpene volatiles biosynthesis
PWY-6436	perillyl aldehyde biosynthesis
PWY-6447	trichome monoterpenes biosynthesis
PWY-5815	rubber biosynthesis
PWY-5434	(3E)-4,8-dimethylnona-1,3,7-triene biosynthesis I
PWY-6007	(3E)-4,8-dimethylnona-1,3,7-triene biosynthesis II
PWY-6243	bergamotene biosynthesis I
PWY-6244	bergamotene biosynthesis II
PWY-7497	3beta-hydroxysesquiterpene lactone biosynthesis
PWY-5195	artemisinin and arteannuin B biosynthesis
PWY-6540	costunolide biosynthesis
PWY-6859	all-trans-farnesol biosynthesis
PWY-6275	beta-caryophyllene biosynthesis
PWY-6290	beta-cubebene biosynthesis
PWY-6278	botrydial biosynthesis
PWY-7711	calonectrin biosynthesis
PWY-6128	cis-calamenene related sesquiterpenoids biosynthesis
PWY-6257	curcumene biosynthesis
PWY-6669	delta-guaiene biosynthesis
PWY-7712	deoxynivalenol biosynthesis
PWY-6271	eudesmol biosynthesis
PWY-5725	farnesene biosynthesis
PWY-5950	geosmin biosynthesis
PWY-5733	germacrene biosynthesis
PWY-5773	gossypol biosynthesis
PWY-7714	harzianum A and trichodermin biosynthesis
PWY-7713	nivalenol biosynthesis
PWY-5425	oleoresin sesquiterpene volatiles biosynthesis
PWY-7720	ophiobolin F biosynthesis
PWY-6258	patchoulol biosynthesis
PWY-6254	santalene biosynthesis I
PWY-6836	santalene biosynthesis II
PWY-6294	selinene biosynthesis
PWY-8064	sodorifen biosynthesis
PWY-7736	stellatic acid biosynthesis
PWY-7730	T-2 toxin biosynthesis
PWY-6291	valencene and 7-epi-alpha-selinene biosynthesis
PWY-6265	zerumbone biosynthesis
PWY-5377	alpha-amyrin biosynthesis
PWY-7473	avenacin A-1 biosynthesis
PWY-7474	avenacin A-2 biosynthesis
PWY-6008	baruol biosynthesis
PWY-7067	betulinate biosynthesis
PWY-6105	botryococcenes and methylated squalene biosynthesis
PWY-6095	dammara-20,24-diene biosynthesis
PWY-7475	des-methyl avenacin A-1 biosynthesis
PWY-6098	diploterol biosynthesis
PWY-5672	ginsenosides biosynthesis
PWY-7066	glycyrrhetinate biosynthesis
PWY-7072	hopanoid biosynthesis (bacteria)
PWY-112	lupeol biosynthesis
PWY-6109	mangrove triterpenoid biosynthesis
PWY-6005	marneral biosynthesis
PWY-7069	oleanolate biosynthesis
PWY-7251	pentacyclic triterpene biosynthesis
PWY-5756	saponin biosynthesis II
PWY-5759	saponin biosynthesis III
PWY-5774	saponin biosynthesis IV
PWY-5203	soybean saponin I biosynthesis
PWY-7476	superpathway of avenacin A biosynthesis
PWY-5992	thalianol and derivatives biosynthesis
PWY-7068	ursolate biosynthesis
PWY-6668	(E,E)-4,8,12-trimethyltrideca-1,3,7,11-tetraene biosynthesis
PWY-7087	2-methylisoborneol biosynthesis
PWY-5827	heliocides biosynthesis
PWY-5828	lacinilene C biosynthesis
PWY-5424	superpathway of oleoresin turpentine biosynthesis
PWY-7857	adlupulone and adhumulone biosynthesis
PWY-5140	cannabinoid biosynthesis
PWY-5133	colupulone and cohumulone biosynthesis
PWY-5808	hyperforin and adhyperforin biosynthesis
PWY-5132	lupulone and humulone biosynthesis
PWY-7105	olivetol biosynthesis
PWY-5134	superpathway of bitter acids biosynthesis
PWY-7169	hyperxanthone E biosynthesis
PWY-13	superpathway of tetrahydroxyxanthone biosynthesis
PWY-5002	tetrahydroxyxanthone biosynthesis (from 3-hydroxybenzoate)
PWY-5001	tetrahydroxyxanthone biosynthesis (from benzoate)
PWY-7556	(-)-microperfuranone biosynthesis
PWY-5954	(1'S,5'S)-averufin biosynthesis
PWY-7907	(2S,3E)-2-amino-4-methoxy-but-3-enoate biosynthesis
PWY-7958	12-epi-fischerindole biosynthesis
PWY-7959	12-epi-hapalindole biosynthesis
PWY-7536	2-amino-3-hydroxycyclopent-2-enone biosynthesis
PWY-6839	2-aminoethylphosphonate biosynthesis
PWY-6660	2-heptyl-3-hydroxy-4(1H)-quinolone biosynthesis
PWY-8019	2-hydroxyparaconate and itatartarate biosynthesis
PWY-6585	2-methylketone biosynthesis
PWY-5979	3-amino-5-hydroxybenzoate biosynthesis
PWY-6661	4-hydroxy-2(1H)-quinolone biosynthesis
PWY-6920	6-gingerol analog biosynthesis (engineered)
PWY-8076	8-O-methylated benzoxazinoid glucoside biosynthesis
PWY-5959	aflatoxins B1 and G1 biosynthesis
PWY-5960	aflatoxins B2 and G2 biosynthesis
PWY-7540	aflatrem biosynthesis
PWY-7599	anditomin biosynthesis
PWY-8047	bryostatin biosynthesis
PWY-6949	DIBOA-glucoside biosynthesis
PWY-6950	DIMBOA-glucoside biosynthesis
PWY-8083	domoic acid biosynthesis
PWY-6808	dTDP-D-forosamine biosynthesis
PWY-6644	fluoroacetate and fluorothreonine biosynthesis
PWY-5975	furaneol and mesifurane biosynthesis
PWY-7752	gadusol biosynthesis
PWY-7533	gliotoxin biosynthesis
PWY-7534	gliotoxin inactivation
PWY-7153	grixazone biosynthesis
PWY-7957	hapalindole H biosynthesis
PWY-7910	homofuraneol biosynthesis
PWY-5826	hypoglycin biosynthesis
PWY-6068	indican biosynthesis
PWY-6069	indigo biosynthesis
PWY-5957	L-nicotianamine biosynthesis
PWY-7708	lyngbyatoxin biosynthesis
PWY-7531	mannojirimycin biosynthesis
PWY-7236	mycocyclosin biosynthesis
PWY-7861	N-hydroxy-L-pipecolate biosynthesis
PWY-7463	N-methylanthraniloyl-beta-D-glucopyranose biosynthesis
PWY-8069	nepetalactone biosynthesis
PWY-6699	oxalate biosynthesis
PWY-7955	paerucumarin biosynthesis
PWY-7492	paspaline biosynthesis
PWY-7490	patulin biosynthesis
PWY-7493	paxilline and diprenylpaxilline biosynthesis
PWY-6703	preQ0 biosynthesis
PWY-7936	psilocybin biosynthesis
PWY-6926	pyrethrin I biosynthesis
PWY-6831	pyrrolnitrin biosynthesis
PWY-7960	rhabduscin biosynthesis
PWY-7906	rhizobitoxine biosynthesis
PWY-6802	salidroside biosynthesis
PWY-7751	shinorine biosynthesis
PWY-8007	staphylopine biosynthesis
PWY-5956	sterigmatocystin biosynthesis
PWY-7687	stipitatate biosynthesis
PWY-5961	superpathway of aflatoxin biosynthesis
PWY-4161	superpathway of benzoxazinoid glucosides biosynthesis
PWY-6662	superpathway of quinolone and alkylquinolone biosynthesis
PWY-7954	tabtoxinine-beta-lactam biosynthesis
PWY-7991	toxoflavin biosynthesis
PWY-5935	tuberculosinol biosynthesis
PWY-5955	versicolorin B biosynthesis
PWY-7040	violacein biosynthesis
PWY-7216	(R)- and (S)-3-hydroxybutanoate biosynthesis (engineered)
PWY-7052	cyanophycin metabolism
PWY-7218	photosynthetic 3-hydroxybutanoate biosynthesis (engineered)
PWY-6657	polyhydroxydecanoate biosynthesis
PWY-5086	chlorophyll a biosynthesis I
PWY-5064	chlorophyll a biosynthesis II
PWY-7764	chlorophyll a biosynthesis III
PWY-8126	chlorophyll a2 biosynthesis
PWY-5068	chlorophyll cycle
PWY-5529	superpathway of bacteriochlorophyll a biosynthesis
