4.99.1.M4	phenylacetonitrile-specifying protein	RXN-12025+RXN-8136+RXNQT-4351
2.3.1.16	acetyl-CoA C-octanoyltransferase	RXN-13617+RXN-10699+RXN-10700+RXN-10701+KETOACYLCOATHIOL-RXN+RXN-21787+RXN-21785+RXN-21786+RXN-12710+RXN-19800
2.3.1.207	beta-ketodecanoyl-[acyl-carrier-protein] synthase	RXN-13613
2.3.1.86	3-oxoacyl-[acp] synthase	RXN3O-1803+RXN-20769+RXN-20770+RXN3O-5293+RXN-21719+RXN-21720+RXN-21721+RXN-21722+RXN-21723+RXN-21724+RXN-21725+RXN-21726+RXN1G-499+RXN1G-508+RXN1G-517+RXN-10059+RXN-10060+RXN-10061+RXN-10062+RXN1G-536
2.3.1.41	3-oxooctadecanoyl-[acyl carrier protein] synthase	RXN-9632+RXN1G-368+RXN1G-445+RXN1G-499+RXN-10059+RXN-9648+RXN-9650+RXN-9651+RXN-9652+RXN-9653
6.4.1.3	cerotoyl-CoA carboxylase	RXN1G-4355+PROPIONYL-COA-CARBOXY-RXN
4.2.1.M1	3-hydroxybehenoyl-[acyl-carrier protein] dehydratase	RXN1G-363+RXN1G-27+RXN1G-420+RXN1G-266+RXN1G-188+RXN1G-279+RXN1G-377+RXN1G-464+RXN1G-308+RXN1G-309+RXN1G-127+RXN1G-294+RXN1G-912+RXN1G-1084+RXN1G-355+RXN1G-214+RXN1G-425
5.3.3.14	trans-docos-2-enoyl-[acp] isomerase	RXN1G-30+RXN1G-674+RXN1G-53+5.3.3.14-RXN
2.3.1.293	cis-docos-3-enoyl-[acyl-carrier protein]:malonyl-[acyl-carrier protein] malonyltransferase	RXN1G-26+RXN1G-306+RXN1G-218+RXN1G-138+RXN1G-236+RXN1G-324+RXN1G-840+RXN1G-1003+RXN1G-132
1.1.1.M9	cis-delta5-3-oxo-C24:1-[acp] reductase	RXN1G-72+RXN1G-364+RXN1G-240+RXN1G-163+RXN1G-260+RXN1G-358+RXN1G-408+RXN1G-262+RXN1G-252+RXN1G-637+RXN1G-203+RXN1G-481+RXN1G-717+RXN1G-951+RXN1G-881+RXN1G-1053+RXN1G-287+RXN1G-182+RXN1G-384+RXN1G-613+RXN1G-853+RXN1G-1050+RXN1G-1247+RXN1G-184+RXN1G-409+RXN1G-617
1.3.1.118	trans-delta2-cis-delta5-C24:2-[acp]:NADH+ oxidoreductase	RXN1G-171+RXN1G-37+RXN1G-285+RXN1G-210+RXN1G-299+RXN1G-193+RXN1G-339+RXN1G-509+RXN1G-196+RXN1G-337+RXN1G-607+RXN1G-820+RXN1G-1057+RXN1G-396+RXN1G-962+RXN1G-1130+RXN1G-248+RXN1G-468+RXN1G-686+RXN1G-915+RXN1G-1117+RXN1G-1325+RXN1G-276+RXN1G-471+RXN1G-679
2.3.1.294	cis,cis-delta3,15-C34:2-[acyl-carrier protein]:malonyl-[acyl-carrier protein] malonyltransferase	RXN1G-202+RXN1G-89+RXN1G-172+RXN1G-580+RXN1G-32+RXN1G-424+RXN1G-660+RXN1G-883+RXN1G-79+RXN1G-334+RXN1G-557+RXN1G-818+RXN1G-1015+RXN1G-1212+RXN1G-94+RXN1G-374+RXN1G-582
4.2.1.M2	3-cis,cis-delta15,27-3-hydroxyC46:2-[acyl-carrier protein] dehydratase	RXN1G-554+RXN1G-760+RXN1G-1004+RXN1G-645+RXN1G-884+RXN1G-1081+RXN1G-1278+RXN1G-220+RXN1G-440+RXN1G-648
1.1.-.-	3-oxo-C78-alpha-mycolate-[pks13] reductase	RXN1G-1486+RXN1G-1528+RXN1G-1527+RXN1G-1529+RXN-15339+RXN1G-1530
3.1.3.12	6-O-mycolyl-trehalose-6-phosphate phosphohydrolase	RXN1G-1435+RXN1G-1437+RXN1G-1436+RXN1G-1438+RXN1G-1439
2.3.1.122	alpha,alpha-trehalose-6-mycolate:alpha,alpha-trehalose-6-mycolate 6-mycolyltransferase	RXN1G-874
2.1.1.79	cis-methoxy-C59-meroacyl-[acp] synthase	RXN1G-2544+RXN1G-3641
1.3.1.10/1.3.1.39	enoyl-[acyl-carrier-protein] reductase	RXN-9515+RXN-9521+RXN-9526+RXN-9530+RXN-9534+RXN-9538
2.1.3.15	acetyl-CoA carboxyltransferase	RXN0-5055
2.3.1.39	[acyl-carrier-protein] S-malonyltransferase	MALONYL-COA-ACP-TRANSACYL-RXN+RXN-20481+RXN-20482+RXN-20498
2.3.1.180	beta-ketoacyl-ACP synthase	2.3.1.180-RXN
3.1.2.21	acyl-[acp] thioesterase	3.1.2.21-RXN
1.14.19.2	palmytoyl-[acp] 9-desaturase	RXN-7903
2.3.1.179	3-oxo-cis-vaccenoyl-[acp] synthase	2.3.1.179-RXN
7.5.2.-	trehalose-trans-methoxy-mono-mycolate transporter	RXN1G-472+RXN1G-470+RXN1G-473+RXN1G-474+RXN1G-137
1.1.1.330	3-oxooctacosanoyl-CoA reductase	RXN-20333+RXN-20337+RXN-20341+RXN-20345+RXN-20349+RXN-7698+RXN-13298+RXN-13299+RXN-13300+RXN-13301+RXN-12968
4.2.1.134	enoyl-CoA hydratase	RXN-20334+RXN-20338+RXN-20342+RXN-20346+RXN-20350+RXN-11750+RXN-13302+RXN-13303+RXN-13304+RXN-13305
1.3.1.93	trans-octacos-2-enoyl-CoA reductase	RXN-20335+RXN-20339+RXN-20343+RXN-20347+RXN-20351+RXN-7711+RXN-13306+RXN-13307+RXN-13308+RXN-13309
2.3.1.199	3-oxotriacontanoyl-CoA synthase	RXN-20336+RXN-20340+RXN-20344+RXN-20348+RXN-7697+RXN-13294+RXN-13295+RXN-13297+RXN-13296
2.4.1.208	alpha-diglucosyldiacylglycerol synthase	2.4.1.208-RXN
2.4.1.46	UDP-galactose:DAG galactosyltransferase	2.4.1.46-RXN
2.4.1.184	beta-monogalactosyldiacylglycerol galactosyltransferase	RXN-1226+RXN-9721+RXN-16635
2.4.1.241	UDP-galactose:MGDG galactosyltransferase	RXN-1225
5.1.3.34	beta-monoglucosyldiacylglycerol epimerase	RXN-16647
2.7.7.27	glucose 1-phosphate adenylyltransferase	GLUC1PADENYLTRANS-RXN
2.4.1.213	glucosylglycerol-phosphate synthase	2.4.1.213-RXN
3.1.3.69	glucosylglycerol-phosphate phosphatase	3.1.3.69-RXN
1.14.19.23	1-18:1-2-16:0-monogalactosyldiacylglycerol desaturase	RXN-8294+RXN-8363+RXN-8305+RXN-8302+RXN-8300+RXN-8298+RXN-8296+RXN-8308+RXN-8316+RXN-1726
1.14.19.35	1-18:2-2-18:2-digalactosyldiacylglycerol desaturase	RXN-8310+RXN-8313+RXN-8365+RXN-8367+RXN-8366+RXN-8368+RXN-8364+RXN-8314+RXN-8311+RXN-8303+RXN-8306+RXN-8301+RXN-8299+RXN-8297+RXN-8295+RXN-8309+RXN-8317+RXN-1727
1.14.99.35	1-18:3-2-18:2-monogalactosyldiacylglycerol desaturase	RXN-8369
1.14.19.42	1-18:2-2-16:0-monogalactosyldiacylglycerol desaturase	RXN-8304+RXN-8307
2.4.1.M22	polyprenyl-phosphate beta-D-mannosyltransferase	RXN-18684
2.4.1.346	phosphatidyl-myo-inositol dimannoside synthase	RXN-18607+RXN-18610
2.3.1.265	phosphatidylinositol dimannoside acyltransferase	RXN-18609+RXN-18608
2.4.1.M20	phosphatidylinositol dimannoside mannosyltransferase	RXN-18680
2.4.1.M23	phosphatidylinositol tetramannoside alpha-(1-2)-mannosyltransferase	RXN-18682
2.3.1.252	mycolipanoate synthase	RXN-17254
2.3.1.278	mycolipenoyl-CoA--2-long-chain-acyl-trehalose mycolipenoyltransferase	RXN-17177
2.3.1.M11	mycolipenyl-CoA--diacyltrehalose mycolipenyltransferase	RXN-17178
2.7.8.11	phosphatidylinositol synthase	2.7.8.11-RXN
2.7.1.137	phosphatidylinositol 3-kinase	1-PHOSPHATIDYLINOSITOL-3-KINASE-RXN
2.7.1.150	phosphatidylinositol-3-phosphate 5-kinase	2.7.1.150-RXN
2.7.1.67	phosphatidylinositol 4-kinase	1-PHOSPHATIDYLINOSITOL-KINASE-RXN
2.7.1.68	phosphatidylinositol 4 phosphate 5 kinase	2.7.1.68-RXN
2.7.1.153	phosphatidylinositol-4,5-bisphosphate 3-kinase	2.7.1.153-RXN
2.7.1.154	phosphatidylinositol-4-phosphate 3-kinase	2.7.1.154-RXN
2.5.1.41	phosphoglycerol geranylgeranyltransferase	2.5.1.41-RXN
2.5.1.42	geranylgeranylglycerol-phosphate geranylgeranyltransferase	2.5.1.42-RXN
1.3.7.11	2,3-di-O-geranylgeranyl-sn-glycerol 1-phosphate reductase	RXN-14399
2.7.8.39	saturated archaetidylinositol phosphate synthase	RXN-14403
2.7.7.67	CDP-archaeol synthase	RXN-9995
2.7.8.38	saturated archaetidylserine synthase	RXN-14405+RXN-9996
3.1.3.95	phosphatidylinositol-3,5-bisphosphate 3-phosphatase	RXN-10958
2.7.1.149	phosphatidylinositol-5-phosphate 4-kinase	2.7.1.149-RXN
3.1.4.11	1-phosphatidylinositol-4,5-bisphosphate phosphodiesterase	3.1.4.11-RXN+RXN-20523+RXN-20519
3.1.3.78	phosphatidylinositol 4,5-bisphosphate 4-phosphatase	RXN-9779
2.3.1.42	dihydroxyacetone phosphate acyltransferase	RXN-15044+2.3.1.42-RXN
2.3.1.15	glycerol-3-phosphate O-acyltransferase	RXN-15045+RXN-10462+RXN-1381
1.1.1.8	glycerol 3-phosphate dehydrogenase	1.1.1.8-RXN
1.1.1.101	1-acyl dihydroxyacetone phosphate reductase	RXN-15046
2.7.1.107	diacylglycerol kinase	DIACYLGLYKIN-RXN
3.1.3.81	diacylglycerol diphosphate phosphatase	RXN-11277
1.14.19.22	1-18:1-2-18:1-sn-glycerol-3-phosphocholine 1-12-desaturase	RXN-8320+RXN-8327+RXN-8360+RXN-8328+RXN-8324+RXN-8322+RXN-8330
1.14.19.25	1-16:0-2-18:2-phosphatidylcholine desaturase	RXN-8361+RXN-8326+RXN-8329+RXN-8325+RXN-8323+RXN-8321+RXN-8331
1.14.19.43	1-18:2-2-16:0-phosphatidylglycerol desaturase	RXN-8318+RXN-8319
2.5.1.26	alkylglycerone-phosphate synthase	ALKYLGLYCERONE-PHOSPHATE-SYNTHASE-RXN
2.7.1.82	ethanolamine kinase	ETHANOLAMINE-KINASE-RXN
2.7.7.14	ethanolamine-phosphate cytidylyltransferase	2.7.7.14-RXN
2.7.8.1	2-acyl-1-alkyl-sn-glycerol ethanolaminephosphotransferase	RXN-17731+ETHANOLAMINEPHOSPHOTRANSFERASE-RXN
1.14.19.bu	2-acyl-1-alkyl-sn-glycero-3-phosphoethanolamine desaturase	RXN-17732
2.7.7.15	choline-phosphate cytidylyltransferase	2.7.7.15-RXN
2.7.8.22	2-acyl-1-Z-alk-1-enyl-sn-glycerol cholinephosphotransferase	2.7.8.22-RXN
2.7.1.127	inositol-1,4,5-trisphosphate 3-kinase	2.7.1.127-RXN
2.7.1.151	inositol-1,4,5,6-tetrakisphosphate 3-kinase	RXN-7162+RXN-7184+2.7.1.151-RXN
2.7.1.158	inositol (1,3,4,5,6)-pentakisphosphate 2-kinase	RXN-7163
2.7.7.41	CTP:phosphatidate cytidyltransferase	CDPDIGLYSYN-RXN
2.7.8.8	phosphatidylserine synthase	PHOSPHASERSYN-RXN
4.1.1.65	phosphatidylserine decarboxylase	PHOSPHASERDECARB-RXN
2.7.8.5	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase	PHOSPHAGLYPSYN-RXN
3.1.3.27	phosphatidylglycerophosphatase	PGPPHOSPHA-RXN
2.7.1.32	choline kinase	CHOLINE-KINASE-RXN
1.14.14.fr	triacontanoate omega-hydroxylase	RXN-20353
6.2.1.M34	30-hydroxytriacontanoyl-CoA synthetase	RXN-20354
2.3.1.298	very-long-chain omega-hydroxyceramide synthase	RXN-20387+RXN-20360+RXN-20358+RXN-20356
2.3.1.296	triglyceride:N-(30-hydroxytriacontanoyl)-sphinganine linoleoyltransferase	RXN-20388+RXN-20361+RXN-20359+RXN-20357
2.3.1.50	serine palmitoyltransferase	SERINE-C-PALMITOYLTRANSFERASE-RXN+RXN-20396
1.1.1.102	3-ketodihydrosphingosine reductase	3-DEHYDROSPHINGANINE-REDUCTASE-RXN+RXN-12642
1.14.19.17	dihydroceramide 4-desaturase	RXN-16332+RXN-11341
2.8.2.11	digalactosylceramide sulfotransferase	RXN-18303+RXN-18301
2.4.99.9	galactosylceramide alpha-2,3-sialyltransferase	RXN-18291+2.4.99.9-RXN+RXN-18309
2.4.1.274	glucosylceramide beta-1,4-galactosyltransferase	RXN-12119
2.4.1.92	lactosylceramide beta-1,4 N-acetylgalactosaminyltransferase	RXN-18271+2.4.1.92-RXN+RXN-18274+RXN-18294
2.4.1.62	ganglioside GA2 beta-1,3-galactosyltransferase	RXN-18270+GANGLIOSIDE-GALACTOSYLTRANSFERASE-RXN+RXN-18278+RXN-18295
2.4.99.4	ganglioside GA1 alpha-2,3-sialyltransferase	RXN-18287+RXN-18299
2.4.99.8	ganglioside GM1b alpha-2,8-sialyltransferase	RXN-18286+RXN-18280+RXN-18275+RXN-18281+RXN-18285+RXN-18297
2.4.99.2	ganglioside GM1 alpha-2,3-sialyltransferase	2.4.99.2-RXN+RXN-18279+RXN-18296
2.4.99.1	lactosylceramide alpha-2,6-sialyltransferase	2.4.99.11-RXN+RXN-18310+RXN-18313+RXN-15271
2.4.1.228	lactosylceramide 4-alpha-galactosyltransferase	2.4.1.228-RXN
2.4.1.79	globotriaosylceramide 3-beta-N-acetylgalactosaminyltransferase	2.4.1.79-RXN
2.4.1.88	globoside alpha-1,3-N-acetylgalactosaminyltransferase	2.4.1.88-RXN
2.4.1.206	lactosylceramide 1,3-N-acetyl-beta-D-glucosaminyltransferase	2.4.1.206-RXN
2.4.1.86	lactotriaosylceramide beta-1,3-galactosyltransferase	2.4.1.86-RXN
2.4.1.69	lactotetraosylceramide alpha-2-fucosyltransferase	GALACTOSIDE-2-L-FUCOSYLTRANSFERASE-RXN
2.4.1.275	lactotriaosylceramide beta-1,4-galactosyltransferase	RXN-12229+RXN-18306+RXN-18308
2.4.99.6	neolactotetraosylceramide alpha-2,3-sialyltransferase	2.4.99.10-RXN+RXN-18312+RXN-18311+2.4.99.6-RXN
2.4.1.149	neolactotetraosylceramide beta-1,3-galactosyltransferase	2.4.1.163-RXN+RXN-18307+2.4.1.149-RXN
2.7.8.27	sphingomyelin synthase	RXN-15211
3.1.4.12	sphingomyelin phosphodiesterase	RXN-15212
2.3.1.24	sphinganine N-acyltransferase	RXN-7792
1.14.19.29	sphingolipid 8E-desaturase	RXN-7798
2.7.1.138	ceramide kinase	RXN-7799
1.14.18.7	sphingolipid very long chain fatty acid alpha-hydroxylase	RXN-7796
2.4.1.80	glucosylceramide synthase	RXN-7793
2.7.1.91	sphinganine kinase	SPHINGANINE-KINASE-RXN
1.14.18.5	sphinganine 4-hydroxylase	RXN3O-1380+RXN-20397
2.3.1.297	ceramide synthase	RXN3O-328
1.14.18.6	ceramide very long chain fatty acid hydroxylase	RXN-20394
2.7.1.227	inositol phosphorylceramide synthase	RXN3O-581
2.4.1.370	inositol phosphorylceramide mannosyltransferase	RXN3O-663
2.7.1.228	mannosyl-inositol-phosphoceramide inositolphosphotransferase	RXN3O-680
1.3.1.22	progesterone 5alpha-reductase	PROGESTERONE-5-ALPHA-REDUCTASE-RXN+RXN66-343+RXN-21973
1.1.1.213	3alpha-hydroxysteroid dehydrogenase	RXN66-567+RXN-9841+RXN-9796+RXN-21979
1.14.14.23	cholesterol 7alpha-hydroxylase	CHOLESTEROL-7-ALPHA-MONOOXYGENASE-RXN
1.1.1.181	cholest-5-ene-3beta,7alpha-diol 3beta-dehydrogenase	1.1.1.181-RXN
1.3.1.3	7alpha-hydroxycholest-4-en-3-one reductase	RXN-9840+RXN-9794
6.2.1.28	(25R)-3alpha,7alpha-dihydroxy-5beta-cholestanoyl-CoA ligase	6.2.1.28-RXN
5.1.99.4	alpha-methylacyl-CoA racemase	RXN-9845+RXN-9797+RXN-17645
4.2.1.107	(24E)-3alpha,7alpha-dihydroxy-5beta-cholest-24-enoyl-CoA hydratase	RXN-9847+4.2.1.107-RXN
2.3.1.176	chenodeoxycholoyl-CoA:propanoyl-CoA C-acyltransferase	RXN-9850+2.3.1.176-RXN+RXN-12706
2.3.1.65	chenodeoxycholoyl-CoA glycine N-acyltransferase	RXN-9851+RXN-9852+RXN-9800+GLYCINE-N-CHOLOYLTRANSFERASE-RXN
1.14.18.8	7alpha-hydroxycholest-4-en-3-one 12alpha-hydroxylase	1.14.13.95-RXN
6.2.1.7	very long-chain acyl-CoA synthetase	6.2.1.29-RXN
1.3.99.-	peroxisomal acyl-coenzyme A oxidase	RXN-9798+RXN-12743+RXN-12748+RXN-12703+RXN-12707
5.5.1.9	cyclopropyl sterol isomerase	RXN-11876+RXN-20436+CYCLOEUCALENOL-CYCLOISOMERASE-RXN
1.3.1.70	Delta8,14sterol Delta14-sterol reductase	RXN-11878+RXN-20439+RXN66-306+RXN66-14+RXN-4144
5.3.3.5	Delta8-Delta7-sterol isomerase	RXN-11884+RXN-4286+RXN66-320+RXN66-25+RXN-4161
1.14.19.20	Delta7-sterol 5(6)-desaturase	RXN-11887+1.14.21.6-RXN+RXN3O-218+RXN-4209
1.3.1.21	Delta5,7-sterol-Delta7 reductase	RXN66-27+RXN66-323+RXN-707+RXN-4210
1.3.1.72	desmosterol reductase	RXN66-28+RXN-4282+RXN66-321+RXN66-10+RXN-20119+RXN-20117
1.1.1.418	(3beta,9beta)-4alpha-demethyl-4alpha-carboxy-9,19-cyclolanost-3-ol 3-dehydrogenase	RXN-20434+RXN-20441+RXN-11928+RXN-11933+RXN-11938
1.1.1.270	31-norcycloartanone reductase	RXN-20435+RXN-20442+RXN66-314+RXN66-319+RXN66-19+RXN66-24
1.14.14.17	squalene,NADPH:oxygen oxidoreductase (2,3-epoxidizing)	SQUALENE-MONOOXYGENASE-RXN
5.4.99.7	lanosterol synthase	LANOSTEROL-SYNTHASE-RXN
1.1.1.170	4alpha-carboxy-4beta-methyl-5alpha-cholesta-8,24-dien-3beta-ol 3-dehydrogenase (decarboxylating)	RXN66-313+RXN66-318+RXN66-18+RXN66-23
5.4.99.8	cycloartenol synthase	CYCLOARTENOL-SYNTHASE-RXN
1.3.1.M16	progesterone 5beta-reductase	RXN-9726
2.1.1.41	sterol methyltransferase	RXN-4021+RXN3O-178
1.3.-.-	24-methylenecholesterol isomerase	RXN-708
1.14.19.41	24-epi-campsterol desaturase	RXN-8352+RXN-4243+RXN3O-227
2.1.1.143	sterol 24C methyltransferase	2.1.1.143-RXN
1.1.1.417	4beta-carboxy-4alpha-methyl-5alpha-cholesta-8-en-3beta-ol 3-dehydrogenase (decarboxylating)	RXN-20125+RXN-20116
2.3.1.26	oleyl-CoA:ergosterol acyltransferase	RXN-15134+RXN-15132
3.1.1.13	steryl ester hydrolase	RXN-15135+RXN-15133
2.3.1.9/2.3.1.16	acetyl-CoA acetyltransferase	ACETYL-COA-ACETYLTRANSFER-RXN+RXN-12561
2.3.3.10	hydroxymethylglutaryl-CoA synthase	HYDROXYMETHYLGLUTARYL-COA-SYNTHASE-RXN
1.1.1.34	3-hydroxy-3-methylglutaryl-coenzyme A reductase	1.1.1.34-RXN
2.7.1.36	mevalonate kinase	MEVALONATE-KINASE-RXN
2.7.4.2	phosphomevalonate kinase	PHOSPHOMEVALONATE-KINASE-RXN
4.1.1.33	diphosphomevalonate decarboxylase	DIPHOSPHOMEVALONTE-DECARBOXYLASE-RXN
5.3.3.2	isopentenyl-diphosphate delta-isomerase	IPPISOM-RXN
2.5.1.1	dimethylallyltransferase	GPPSYN-RXN
2.5.1.10	omega,E,E-farnesyl diphosphate synthase	FPPSYN-RXN
1.1.1.201	7-oxolithocholate reductase	RXN-16034
6.3.4.15	biotin--[acetyl-CoA carboxylase] synthetase	BIOTINLIG-RXN
6.3.4.14	biotin carboxylase	BIOTIN-CARBOXYL-RXN
2.3.1.75	wax ester synthase	RXNQT-4193+2.3.1.75-RXN+RXN-12639
2.7.1.174	diacylglycerol kinase (CTP)	RXN-12959
2.3.1.158	phospholipid: lyso-phosphatidylcholine acyltransferase	RXN-1641
2.3.1.20	acyl-CoA:diacylglycerol acyltransferase	DIACYLGLYCEROL-O-ACYLTRANSFERASE-RXN
2.1.1.M42	diacylglycerolhomoserine N,N,N-trimethyltransferase	RXN-12348
2.3.1.111	mycocerosate synthase	RXN-18052
2.3.1.282	phthiocerol dimycocerosyl transferase	RXN-17271+RXN-17258
2.4.1.M3	dimycocerosyl phenolphthiocerol rhamnosyltransferase	RXN-17249+RXN-17292
2.1.1.M13	(alpha-L-rhamnopyranosyl) dimycocerosyl phenol-phthiocerol rhamnosyl 2-O-methyltransferase	RXN-17277+RXN-17288
2.4.1.M4	mycoside B rhamnosyltransferase	RXN-17278+RXN-17293
2.4.1.M5	[alpha-L-rhamnopyranosyl-(1->3)-2-O-methyl-alpha-L-rhamnopyranosyl] dimycocerosyl phenol-phthiocerol fucosyltransferase	RXN-17279+RXN-17286
2.1.1.M14	[alpha-L-fucopyranosyl-(1->3)-alpha-L-rhamnopyranosyl-(1->3)-2-O-methyl-alpha-L-rhamnopyranosyl] dimycocerosyl phenol-phthiocerol 2'''-O-methyltransferase	RXN-17280+RXN-17285
2.1.1.M15	[2-O-methyl-alpha-L-fucopyranosyl-(1->3)-alpha-L-rhamnopyranosyl-(1->3)-2-O-methyl-alpha-L-rhamnopyranosyl] dimycocerosyl phenol-phthiocerol 4'''-O-methyltransferase	RXN-17281+RXN-17284
2.1.1.M16	[2,4-di-O-methyl-alpha-L-fucopyranosyl-(1->3)-alpha-L-rhamnopyranosyl-(1->3)-2-O-methyl-alpha-L-rhamnopyranosyl] dimycocerosyl phenol-phthiocerol 3'''-O-methyltransferase	RXN-17282+RXN-17283
2.5.1.87	cis-prenyltransferase	RXN-9969
1.3.1.94	polyprenol reductase	RXN-9971
2.7.1.108	dolichol kinase	DOLICHOL-KINASE-RXN
2.5.1.103	farnesyl-diphosphate:farnesyl-diphosphate farnesyltransferase	RXN-12263
3.1.1.23	1-oleoylglycerol lipase	RXN-15089
2.3.1.22	acyl-CoA:monoacylglycerol acyltransferase	RXN-15090
2.3.1.287	C37-hydroxyphthioceranyl-CoA synthase	RXN-17323
2.3.1.288	2-O-sulfo trehalose palmitoyltransferase	RXN-17318
2.3.1.283	2'-palmitoyl-2-O-sulfo-trehalose (hydroxy)phthioceranyltransferase	RXN-17319
2.3.1.284	SL1278 hydroxyphthioceranyltransferase	RXN-17317
2.3.2.30	L-ornithine N 3-hydroxy acyltransferase	RXN-12431
2.3.1.270	lyso-ornithine lipid O-acyltransferase	RXN-12432
3.1.2.M1	19-(4-hydroxyphenyl)nonadecanoyl-[PKS15/1] thioesterase	RXN-17237+RXN-17263+RXN-17212+RXN-17261+RXN-17265
2.3.1.292	C37-phenolphthiodiolenone synthase	RXN-17246+RXN-17215+RXN-17222
1.1.1.M10	C36-phenolphthiodiolenone A reductase	RXN-17304+RXN-17235+RXN-17231
1.1.1.M11	phenolphthiodiolone ketoreductase	RXN-17305+RXN-17234+RXN-17225
2.1.1.M12	phenolphthiotriol methyltransferase	RXN-17306+RXN-17233+RXN-17228
1.14.14.129	oleoyl-CoA omega-hydroxylase	RXN-1063
3.13.1.1	UDP-sulfoquinovose synthase	RXN-1223
2.4.1.M2	sulfoquinovosyldiacylglycerol synthase	RXN-1224
1.14.13.39	nitric oxide synthase	NITRIC-OXIDE-SYNTHASE-RXN
6.3.4.5	argininosuccinate synthase	ARGSUCCINSYN-RXN
4.3.2.1	argininosuccinate lyase	ARGSUCCINLYA-RXN
6.5.1.e	cyclic 2,3-diphosphoglycerate synthase	RXN-20986
2.7.7.74	L-myo-inositol-1-phosphate cytidylyltransferase	RXN-11877
2.7.8.34	CDP-L-myo-inositol myo-inositolphosphotransferase	RXN-11879
3.1.3.46	fructose-2,6-bisphosphatase	3.1.3.46-RXN
2.7.1.105	fructose-6P, 2 kinase	6-PHOSPHOFRUCTO-2-KINASE-RXN
1.14.11.8	epsilon-N-trimethyllysine hydroxylase	TRIMETHYLLYSINE-DIOXYGENASE-RXN
1.2.1.47	4-trimethylaminobutyraldehyde dehydrogenase	1.2.1.47-RXN
1.14.11.1	gamma-butyrobetaine dioxygenase	1.14.11.1-RXN
2.3.1.161	lovastatin nonaketide synthase	2.3.1.161-RXN
3.1.2.31	dihydromonacolin L-[lovastatin nonaketide synthase] thioesterase	RXN-15690
1.14.14.125	monacolin L hydroxylase	RXN-15674
2.3.1.238	monacolin J acid methylbutanoate transferase	RXN-15694
3.1.7.2	guanosine-3',5'-bis(diphosphate) 3'-diphosphatase	PPGPPSYN-RXN+RXN0-6427
2.7.4.6	GDP kinase	GDPKIN-RXN+DADPKIN-RXN+DGDPKIN-RXN+DCDPKIN-RXN+DTDPKIN-RXN+DUDPKIN-RXN
2.7.6.5	GTP pyrophosphokinase	GTPPYPHOSKIN-RXN+GDPPYPHOSKIN-RXN
5.4.2.4	bisphosphoglycerate mutase	BISPHOSPHOGLYCERATE-MUTASE-RXN
3.1.3.80	2,3-bisphosphoglycerate 3-phosphatase	RXN-11102
1.5.1.3	dihydrofolate reductase	DIHYDROFOLATEREDUCT-RXN
2.1.1.45	thymidylate synthase	THYMIDYLATESYN-RXN
3.1.1.85	pimeloyl-[acp] methyl ester esterase	RXN-11483
2.3.1.47	8-amino-7-oxononanoate synthase	RXN-11484+7KAPSYN-RXN
6.2.1.14	6-carboxyhexanoate--CoA ligase	6-CARBOXYHEXANOATE--COA-LIGASE-RXN
1.1.1.76	[(S,S)-2,3-butanediol-forming]-(S)-acetoin reductase	SS-BUTANEDIOL-DEHYDROGENASE-RXN
4.1.1.5	acetolactate decarboxylase	ACETOLACTATE-DECARBOXYLASE-RXN
1.1.1.304	[(S)-acetoin forming]-diacetyl reductase	RXN-11032
1.1.1.303	[(R)-acetoin forming]-diacetyl reductase	RXN-11036
1.1.1.4	(R,R)-butanediol dehydrogenase	RR-BUTANEDIOL-DEHYDROGENASE-RXN
4.1.1.72	4-methyl-2-oxopentanoate decarboxylase	RXN-7692
4.2.3.12	6-pyruvoyl-tetrahydropterin synthase	4.2.3.12-RXN
1.5.4.1	2-amino-4-oxo-6-acetyl-7,8-dihydro-3H,9H-pyrimido[4,5-b]-[1,4]diazepine synthase	1.5.4.1-RXN
3.5.4.3	7,8-dihydropterin deaminase	RXN-15261+GUANINE-DEAMINASE-RXN
2.1.1.165	methyl iodide transferase	RXN-11241+RXN-11267+RXN-11268
2.5.1.91	decaprenyl diphosphate synthase	RXN-9106
2.5.1.30	heptaprenyl diphosphate synthase	TRANS-HEXAPRENYLTRANSTRANSFERASE-RXN
2.5.1.83	hexaprenyl diphosphate synthase	TRANS-PENTAPRENYLTRANSFERASE-RXN
2.5.1.85	geranylgeranyl-diphosphate all-trans-nonaprenyl diphosphate synthase	RXN-11486
2.5.1.90	all-trans-octaprenyl-diphosphate synthase	RXN-8992
2.5.1.31	ditrans,polycis-undecaprenyl-diphosphate synthase [(2E,6E)-farnesyl-diphosphate specific]	RXN-8999
3.6.1.27	undecaprenyl pyrophosphate phosphatase	UNDECAPRENYL-DIPHOSPHATASE-RXN
2.5.1.29	farnesyltranstransferase	FARNESYLTRANSTRANSFERASE-RXN
2.2.1.7	1-deoxy-D-xylulose 5-phosphate synthase	DXS-RXN
1.1.1.267	1-deoxy-D-xylulose 5-phosphate reductoisomerase	DXPREDISOM-RXN
2.7.7.60	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase	2.7.7.60-RXN
2.7.1.148	4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase	2.7.1.148-RXN
